,channelTitle,Title,viewCount,likeCount,publishAt,source
38,Kripto Sözlük,DİKKAT! BITCOIN NEDEN YÜKSELİYOR? (BTC ve Altcoin'de Boğa Mı Başlıyor? - Al Sat Yapmadan İzleyin),2512,318,2018-12-19T16:00:01.000Z,Youtube
39,Ivan on Tech,Who Controls Bitcoin Core? Programmer explains.,13774,981,2018-12-17T08:08:00.000Z,Youtube
40,BTCKYLE,Bitcoin Bounced -- Now What?,1976,145,2018-12-17T22:42:45.000Z,Youtube
41,Mr_Kristof,Is this the Bitcoin bounce we have been waiting for or is this a false bottom?,3990,264,2018-12-18T22:36:31.000Z,Youtube
42,Crypto Kirby Trading,Bitcoin (BTC) is PUMPING! How High Can It Go?! -Crypto Market Trading Analysis & Cryptocurrency News,23518,1135,2018-12-18T06:34:06.000Z,Youtube
43,The Moon,"BITCOIN BREAKING OUT!!! | Wedge Target Is $4,400! | Institutional Investors Buying BTC!",19098,1150,2018-12-18T11:03:43.000Z,Youtube
44,Fausto Botelho,BITCOIN REVERTED - SEE WHY,3869,389,2018-12-18T22:42:22.000Z,Youtube
45,CANAL DO BITCOIN,Análise do Bitcoin,33112,479,2018-12-18T11:32:37.000Z,Youtube
46,Crypto Daily,Bitcoin Holders MUST Understand This - Perspective.,36331,3234,2018-12-17T20:57:03.000Z,Youtube
47,Человек из будущего,ПРЕДСКАЗАЛ ПАДЕНИЕ BITCOIN И ЦЕЛЫЙ ГОД НА ЭТОМ ЗАРАБАТЫВАЛ!,3337,233,2018-12-19T16:04:37.000Z,Youtube
48,The Crypto Lark,Bitcoin & Crypto Price News - Is There Hope?,5046,462,2018-12-18T03:51:38.000Z,Youtube
49,Crypto Crow,YOU'VE BEEN DUPED - The Wealthy vs Dumb Money - Bitcoin To Rise Again - Jamie Dimon 😱😿🚀,6121,418,2018-12-18T20:50:27.000Z,Youtube
